catholics	neg
stand	neg
consciences	neg
marriage	neg
equality	neg
url	neg
obama	neg
marriage	neg
law	neg
url	neg
marriage	neg
equality	neg
iowa	neg
safe	neg
conservatives	neg
hope	neg
url	neg
lgbt	neg
conservative	neg
move	neg
ban	neg
gay	neg
marriage	neg
mn	neg
bloomberg	neg
urges	neg
conservatives	neg
marriage	neg
equality	neg
url	neg
michelle	neg
bachmann	neg
touting	neg
equality	neg
rights	neg
opponents	neg
bachmann	neg
campaign	neg
staffer	neg
gay	neg
marriage	neg
lead	neg
woman	neg
marrying	neg
eiffel	neg
tower	neg
pope	neg
calls	neg
gay	neg
marriages	neg
threat	neg
future	neg
url	neg
url	neg
via	neg
catholics	neg
warn	neg
gay	neg
marriage	neg
washington	neg
post	neg
url	neg
equality	neg
attack	neg
wingnut	neg
lgbt	neg
marriageequality	neg
fighting	neg
amendment	neg
equal	neg
protection	neg
catholics	neg
accept	neg
gay	neg
pope	neg
reuters	neg
url	neg
via	neg
homosexuality	neg
caused	neg
devil	neg
official	neg
word	neg
catholic	neg
church	neg
advisor	neg
url	neg
conservatives	neg
change	neg
civil	neg
marriage	neg
law	neg
url	neg
kidding	neg
court	neg
gay	neg
marriage	neg
trial	neg
videos	neg
federal	neg
appeals	neg
url	neg
lgbt	neg
giuliani	neg
gay	neg
marriage	neg
spark	neg
backlash	neg
url	neg
rt	neg
remember	neg
vote	neg
november	neg
traditional	neg
marriage	neg
url	neg
maryland	neg
catholics	neg
protest	neg
fortnight	neg
freedom	neg
mass	neg
url	neg
marriageequality	neg
meusa	neg
lgbt	neg
religion	neg
gay	neg
marriage	neg
backlash	neg
facebook	neg
url	neg
via	neg
maine	neg
catholic	neg
bishop	neg
recommits	neg
fighting	neg
gay	neg
marriage	neg
ballot	neg
url	neg
lgbt	neg
news	neg
gay	neg
ca	neg
catholic	neg
bishop	neg
claims	neg
gay	neg
marriage	neg
url	neg
lgbt	neg
news	neg
gay	neg
maine	neg
bishop	neg
bursts	neg
marriage	neg
fight	neg
url	neg
uk	neg
lesbian	neg
tv	neg
star	neg
heather	neg
peace	neg
blasts	neg
catholic	neg
extremists	neg
gay	neg
marriage	neg
url	neg
conservative	neg
prodigy	neg
abandons	neg
party	neg
supports	neg
